Distance,Velocity,Y-H2,Y-H,Y-O,Y-O2,Y-OH,Y-H2O,Y-HO2,Y-H2O2,Y-AR,Y-N2,Y_dot_net-H2,Y_dot_net-H,Y_dot_net-O,Y_dot_net-O2,Y_dot_net-OH,Y_dot_net-H2O,Y_dot_net-HO2,Y_dot_net-H2O2,Y_dot_net-AR,Y_dot_net-N2,Y_dot_pos-H2,Y_dot_pos-H,Y_dot_pos-O,Y_dot_pos-O2,Y_dot_pos-OH,Y_dot_pos-H2O,Y_dot_pos-HO2,Y_dot_pos-H2O2,Y_dot_pos-AR,Y_dot_pos-N2,Y_dot_neg-H2,Y_dot_neg-H,Y_dot_neg-O,Y_dot_neg-O2,Y_dot_neg-OH,Y_dot_neg-H2O,Y_dot_neg-HO2,Y_dot_neg-H2O2,Y_dot_neg-AR,Y_dot_neg-N2,Cp-H2,Cp-H,Cp-O,Cp-O2,Cp-OH,Cp-H2O,Cp-HO2,Cp-H2O2,Cp-AR,Cp-N2,h-H2,h-H,h-O,h-O2,h-OH,h-H2O,h-HO2,h-H2O2,h-AR,h-N2,Le-H2,Le-H,Le-O,Le-O2,Le-OH,Le-H2O,Le-HO2,Le-H2O2,Le-AR,Le-N2,EnthalpyTot,MixtureFraction,Temperature,Density,MolarWeightMix,Cp,Conductivity,ViscosityDyn,Heat_Release
0.0,0.5659979865076304,0.008731037278411008,-7.060689491808825e-18,3.0996206529317506e-16,0.23096538594130042,-1.8662154056680255e-18,3.999368893548002e-18,-1.22249477717671e-15,3.6776952265484605e-16,-2.844049613680065e-18,0.7603035767802891,-1.99553232501768e-13,3.133504156818291e-12,-1.9735835793599533e-12,9.627996893886482e-11,2.4173901902423067e-12,-4.140684565881998e-13,-9.924364690727724e-11,-1.1110198233062586e-17,0.0,0.0,-3.9910646500353405e-13,6.167231697387725e-12,-3.91356575103442e-12,1.9255993787792935e-10,2.808290120366953e-12,-4.140684565881998e-13,-9.924363612725378e-11,-1.1111364119422056e-17,0.0,0.0,2.2855615651377362e-11,-0.30337296825917626,0.19399220414502194,-4.1685886628641997e-10,-0.039090000307500705,6.2312360742272246e-21,-1.078134148344854e-06,1.1658434833002612e-10,0.0,0.0,14512.27811110223,20621.187049664215,1322.2945720148944,996.5304879757766,1735.4625968927883,2003.3765601454477,1254.4744410655817,1553.7972403592885,520.30429400208,1070.3331791635244,4086041.288241705,222079130.7368735,15951608.82884309,268926.7239969642,2803749.603048341,-12880828.404712552,705920.4466881526,-3598841.720575955,146647.76526448628,296485.92836907535,0.34191169237439295,0.222509797621832,0.8331148925869186,1.3260459360692725,0.8489465859041723,1.0547041349053363,1.2883510226587542,1.2970871349776465,1.3253688510782016,1.2651529925289668,323207.45521068707,0.008731037278410712,580.0,0.5430822138878831,25.847059701492526,1170.6494344049445,0.0578482536432056,2.971129220328046e-05,-0.000631534141895182
0.01,0.5659979865076383,0.008731037278410885,3.875327649862302e-21,1.474785366341905e-18,0.23096538594129792,4.679648136886956e-20,3.5518406020729573e-16,1.3364681056938092e-15,3.8109009743470325e-16,-1.3251220903257227e-18,0.7603035767802891,-3.7636577539444494e-15,2.1673820583932604e-16,-9.211904215156756e-15,-7.567928953302662e-14,2.9448005894334676e-17,1.038301728478685e-14,7.801350447619115e-14,1.2143529416164781e-17,0.0,0.0,-7.527315507890543e-15,-1.4483524674976475e-15,-1.8442250887589173e-14,-1.5135857914521708e-13,-9.77260444830147e-15,1.038301728478685e-14,7.800171956430114e-14,1.2142321120561553e-17,0.0,0.0,4.3106650786405086e-13,0.00016650906726916966,0.0009230345311154598,3.276650711122074e-13,0.0009802052408325649,3.2187399168434543e-21,1.1783337084594147e-06,1.2082495580345268e-10,0.0,0.0,14512.278111102229,20621.187049664215,1322.2945720148941,996.5304879757784,1735.4625968927887,2003.3765601454513,1254.4744410655856,1553.7972403592942,520.30429400208,1070.3331791635255,4086041.288241796,222079130.73687363,15951608.828843096,268926.7239969704,2803749.603048351,-12880828.404712537,705920.4466881605,-3598841.7205759464,146647.76526448957,296485.92836908216,0.3419116923743917,0.22250979762183207,0.8331148925869167,1.3260459360692676,0.8489465859041705,1.054704134905341,1.288351022658753,1.2970871349776458,1.3253688510781994,1.2651529925289566,323207.4552106871,0.008731037278410719,580.0000000000063,0.543082213887878,25.84705970149256,1170.649434404945,0.057848253643206185,2.971129220328079e-05,2.1317397849107092e-07
0.02,0.565997986507635,0.008731037278410838,1.755221813137616e-21,1.8512413796966628e-20,0.2309653859412964,9.572422880635262e-22,3.6382328388889322e-16,2.884611853899452e-15,3.960318023005534e-16,1.8772686218833078e-18,0.7603035767802891,-1.4778332165071063e-15,-1.5239869940291245e-17,-1.0751199585203496e-16,-4.6762551104735594e-14,-6.845977024249346e-17,2.1238911413974844e-16,4.8192995064390795e-14,2.6211778746967864e-17,0.0,0.0,-2.955666433015818e-15,-7.693963528904046e-16,-2.233769894957684e-16,-9.352510239993098e-14,-2.6896499722797194e-16,2.1238911413974844e-16,4.816755865294698e-14,2.6210523078375602e-17,0.0,0.0,1.6926204386623303e-13,7.541564828177422e-05,1.1586499342923939e-05,2.0246562532558967e-13,2.005052269662853e-05,1.2883609445840175e-22,2.542907614236918e-06,1.2556188657604963e-10,0.0,0.0,14512.278111102227,20621.187049664215,1322.2945720148944,996.5304879757784,1735.4625968927892,2003.376560145451,1254.474441065585,1553.797240359294,520.30429400208,1070.3331791635253,4086041.2882417943,222079130.73687363,15951608.828843098,268926.7239969702,2803749.603048351,-12880828.404712541,705920.4466881602,-3598841.7205759473,146647.76526448943,296485.92836908187,0.3419116923743913,0.2225097976218318,0.8331148925869158,1.3260459360692658,0.8489465859041696,1.0547041349053399,1.2883510226587516,1.2970871349776445,1.325368851078198,1.2651529925289542,323207.4552106872,0.008731037278410715,580.000000000006,0.5430822138878786,25.847059701492572,1170.6494344049447,0.057848253643206095,2.9711292203280778e-05,-7.28476318702137e-09
0.03,0.5659979865076371,0.008731037278410791,1.6318282458818928e-21,-6.389949968330412e-21,0.23096538594129495,-4.0508231072120736e-22,3.5957149232328704e-16,4.372329389333699e-15,4.0626291766124266e-16,-5.68686691668932e-19,0.7603035767802891,-1.4251693930000557e-15,1.1446054745169285e-17,4.7759020680735577e-17,-4.50795503292702e-14,5.05924195503532e-17,-8.987805302534172e-17,4.644506931981133e-14,3.973096050801898e-17,0.0,0.0,-2.8503387860023735e-15,-6.896925942188833e-16,8.775226632745598e-17,-9.015910097802898e-14,1.3544149242549822e-16,-8.987805302534172e-17,4.6406514201012554e-14,3.972967240042904e-17,0.0,0.0,1.6323024927336262e-13,7.011386488496388e-05,-3.999324567227589e-06,1.951788163541743e-13,-8.48490728785821e-06,7.337481046342392e-23,3.85382685983357e-06,1.2880552610304678e-10,0.0,0.0,14512.27811110223,20621.187049664215,1322.2945720148941,996.5304879757783,1735.4625968927887,2003.376560145451,1254.474441065585,1553.7972403592933,520.30429400208,1070.3331791635253,4086041.2882417887,222079130.73687363,15951608.8288431,268926.7239969697,2803749.6030483507,-12880828.404712541,705920.4466881595,-3598841.7205759482,146647.76526448916,296485.92836908135,0.34191169237439056,0.22250979762183093,0.8331148925869135,1.326045936069263,0.8489465859041692,1.0547041349053214,1.288351022658749,1.2970871349776365,1.3253688510781956,1.2651529925289517,323207.45521068707,0.008731037278410715,580.0000000000056,0.5430822138878793,25.84705970149259,1170.6494344049445,0.05784825364320574,2.9711292203280612e-05,-1.9300457229307288e-08
0.035,0.5659979865076338,0.008731037278410767,1.6517135611125225e-21,-3.334205456640291e-21,0.23096538594129423,-2.085438013194867e-22,3.586970159494476e-16,5.1220073073446834e-15,4.120525478450367e-16,-1.182094811153462e-18,0.7603035767802891,-1.4328630306282254e-15,6.748860992771161e-18,2.87284428155134e-17,-4.535077183743666e-14,2.9855993224380907e-17,-4.6270869737672313e-17,4.6718029003174184e-14,4.6543437595708054e-17,0.0,0.0,-2.865726061259133e-15,-7.029338017738663e-16,4.959647754626823e-17,-9.07015440673556e-14,7.35378517689464e-17,-4.6270869737672313e-17,4.667286320094129e-14,4.6542131131363244e-17,0.0,0.0,1.641114318149612e-13,7.096826626494183e-05,-2.0868034737712657e-06,1.963531117146812e-13,-4.368185854547645e-06,8.039183941892973e-23,4.514268011915623e-06,1.3064105138326258e-10,0.0,0.0,14512.278111102229,20621.187049664215,1322.2945720148944,996.5304879757783,1735.4625968927887,2003.376560145451,1254.4744410655849,1553.7972403592935,520.30429400208,1070.3331791635253,4086041.2882417818,222079130.73687363,15951608.8288431,268926.7239969696,2803749.60304835,-12880828.404712541,705920.4466881591,-3598841.7205759482,146647.76526448905,296485.9283690811,0.3419116923743909,0.22250979762182996,0.8331148925869121,1.3260459360692574,0.8489465859041673,1.0547041349053237,1.288351022658748,1.2970871349776347,1.325368851078193,1.2651529925289462,323207.455210687,0.008731037278410712,580.0000000000053,0.5430822138878797,25.847059701492597,1170.649434404944,0.057848253643205644,2.971129220328054e-05,-1.7397699359927296e-08
0.04,0.5659979865076366,0.008731037278410745,1.8734327244890967e-21,3.234629303588365e-20,0.23096538594129346,2.0480411325687682e-21,3.681626124537183e-16,5.922747158526247e-15,4.2263071838553797e-16,3.507824314662942e-18,0.7603035767802893,-1.5174636001068632e-15,-4.6215703922551834e-17,-1.935325454412817e-16,-4.8374863719555646e-14,-2.0430365803168924e-16,4.544112261790109e-16,4.982814808360477e-14,5.381991727423737e-17,0.0,0.0,-3.034927200217244e-15,-8.511632176643196e-16,-3.9598064747863933e-16,-9.674972791552712e-14,-6.332890437413023e-16,4.544112261790109e-16,4.9775921319960304e-14,5.381857727041041e-17,0.0,0.0,1.7380106738572814e-13,8.049475135909664e-05,2.0244810138251312e-05,2.0944638087965655e-13,4.28985385621755e-05,1.6401139215296269e-22,5.219584936262383e-06,1.3399471966748221e-10,0.0,0.0,14512.278111102232,20621.187049664215,1322.2945720148944,996.5304879757786,1735.4625968927885,2003.376560145451,1254.474441065585,1553.7972403592933,520.30429400208,1070.3331791635253,4086041.288241784,222079130.7368736,15951608.828843096,268926.72399696964,2803749.6030483507,-12880828.404712543,705920.4466881594,-3598841.720575948,146647.76526448914,296485.92836908123,0.3419116923743904,0.22250979762183073,0.833114892586913,1.3260459360692614,0.8489465859041684,1.0547041349053208,1.288351022658748,1.2970871349776356,1.325368851078195,1.2651529925289506,323207.45521068736,0.008731037278410715,580.0000000000055,0.5430822138878796,25.847059701492604,1170.6494344049445,0.0578482536432057,2.971129220328061e-05,4.005401501940254e-09
0.045,0.5659979865076329,0.00873103727841072,1.3970555342384289e-21,-4.4292734779862407e-20,0.23096538594129276,-2.81040860629344e-21,3.5438449303438032e-16,6.609798669712141e-15,4.2277635772568246e-16,-3.6362231838826e-18,0.7603035767802891,-1.3367594079408793e-15,6.811456301895337e-17,2.8386667324873424e-16,-4.187741700032131e-14,3.010565882973481e-16,-6.235622910712326e-16,4.312463755253397e-14,6.006332223441896e-17,0.0,0.0,-2.673518815884686e-15,-5.321505888306705e-16,5.610848410448235e-16,-8.375483455364856e-14,8.897284664158474e-16,-6.235622910712326e-16,4.3066352326914536e-14,6.006198176896209e-17,0.0,0.0,1.5310430637126878e-13,6.002651517657635e-05,-2.772181690239643e-05,1.8131469086090055e-13,-5.886718782839403e-05,-9.293640519119914e-24,5.8246725706422015e-06,1.340408787546905e-10,0.0,0.0,14512.278111102232,20621.187049664215,1322.2945720148944,996.5304879757782,1735.462596892789,2003.3765601454506,1254.4744410655849,1553.7972403592926,520.30429400208,1070.3331791635255,4086041.2882417766,222079130.73687363,15951608.828843098,268926.723996969,2803749.6030483497,-12880828.404712543,705920.4466881588,-3598841.7205759487,146647.76526448884,296485.9283690806,0.34191169237439045,0.22250979762182962,0.8331148925869111,1.326045936069255,0.8489465859041662,1.0547041349053223,1.2883510226587465,1.2970871349776332,1.3253688510781911,1.265152992528944,323207.455210687,0.008731037278410715,580.0000000000049,0.5430822138878806,25.847059701492615,1170.649434404944,0.057848253643205554,2.9711292203280527e-05,-4.2033433555624377e-08
0.05,0.5659979865076326,0.008731037278410698,1.6797452641621066e-21,6.950268083353258e-22,0.230965385941292,5.785656132072208e-23,3.547401140038161e-16,7.366138417324571e-15,4.292180736900703e-16,-3.591577609405894e-18,0.7603035767802891,-1.443863947976065e-15,2.0509600552478708e-19,3.6437943707451455e-18,-4.573310411442727e-14,1.0041694157500462e-18,1.283698386865775e-17,4.70923416668268e-14,6.693635191586372e-17,0.0,0.0,-2.8877278959560526e-15,-7.21521794122492e-16,-7.062205772512898e-19,-9.146620887169418e-14,-1.1114541912525723e-17,1.2836983868657749e-17,4.70273869802432e-14,6.693499102605608e-17,0.0,0.0,1.6537141009539918e-13,7.21726890006785e-05,4.3500149476940977e-07,1.9800847892814334e-13,1.2118711328205654e-06,8.961099434612328e-23,6.4906875280845974e-06,1.3608313983091034e-10,0.0,0.0,14512.278111102229,20621.187049664215,1322.2945720148941,996.5304879757782,1735.4625968927887,2003.3765601454506,1254.4744410655844,1553.7972403592926,520.30429400208,1070.333179163525,4086041.2882417743,222079130.7368736,15951608.828843098,268926.7239969688,2803749.6030483493,-12880828.404712545,705920.4466881586,-3598841.7205759487,146647.76526448873,296485.9283690805,0.34191169237438956,0.22250979762182965,0.8331148925869127,1.3260459360692567,0.8489465859041664,1.0547041349053246,1.2883510226587462,1.2970871349776323,1.325368851078193,1.2651529925289453,323207.455210687,0.008731037278410719,580.0000000000047,0.5430822138878808,25.84705970149262,1170.6494344049436,0.057848253643205456,2.971129220328048e-05,-1.4745148333634563e-08
0.055,0.5659979865076324,0.008731037278410674,1.768396999539198e-21,1.5228655772092975e-20,0.23096538594129126,9.633387212055868e-22,3.5961394439236926e-16,8.144051919560398e-15,4.3787929985400557e-16,-1.3073525646751097e-18,0.7603035767802891,-1.4782275426151802e-15,-2.07036079490932e-17,-8.689700021211574e-17,-4.694225074367886e-14,-9.15171266669241e-17,2.137417664982833e-16,4.8331848827896604e-14,7.400542672727865e-17,0.0,0.0,-2.9564550852349263e-15,-7.805210006340469e-16,-1.8220969815916713e-16,-9.388450222817529e-14,-2.932993205469489e-16,2.137417664982833e-16,4.8260034429775146e-14,7.400403837593888e-17,0.0,0.0,1.6930720758481954e-13,7.598173925505878e-05,9.5312697801903e-06,2.0324366480783476e-13,2.0178219386058635e-05,1.234986044511945e-22,7.1755959695327215e-06,1.3882905494105131e-10,0.0,0.0,14512.278111102229,20621.187049664215,1322.2945720148941,996.5304879757782,1735.4625968927887,2003.3765601454506,1254.4744410655844,1553.7972403592926,520.30429400208,1070.333179163525,4086041.2882417743,222079130.7368736,15951608.828843098,268926.7239969688,2803749.6030483493,-12880828.404712545,705920.4466881586,-3598841.7205759487,146647.76526448873,296485.9283690805,0.3419116923743894,0.2225097976218295,0.8331148925869124,1.3260459360692558,0.8489465859041658,1.0547041349053237,1.2883510226587456,1.2970871349776318,1.3253688510781922,1.2651529925289438,323207.4552106871,0.008731037278410719,580.0000000000047,0.543082213887881,25.84705970149263,1170.6494344049436,0.05784825364320542,2.971129220328048e-05,-6.194233677530293e-09
0.06,0.5659979865076353,0.00873103727841065,1.9263077350148994e-21,4.069940738283592e-20,0.23096538594129049,2.570626110178431e-21,3.7174435523963386e-16,8.95820572425035e-15,4.498400668782978e-16,4.715626264160651e-18,0.7603035767802891,-1.5386616883488602e-15,-5.833516916427767e-17,-2.4556116202930645e-16,-4.909604094906518e-14,-2.5792331867676837e-16,5.703603039039593e-16,5.0544758160718034e-14,8.140382266240369e-17,0.0,0.0,-3.077323376703191e-15,-8.860011972738925e-16,-5.002895097343693e-16,-9.819208274768454e-14,-7.963700402082521e-16,5.703603039039593e-16,5.0465764468057716e-14,8.14023963879005e-17,0.0,0.0,1.7622896770773272e-13,8.276660279501808e-05,2.547283466683336e-05,2.1256882972487265e-13,5.384467213930693e-05,1.865440902557839e-22,7.892299182060426e-06,1.4262103465178375e-10,0.0,0.0,14512.278111102234,20621.187049664215,1322.2945720148944,996.5304879757779,1735.4625968927887,2003.3765601454502,1254.4744410655844,1553.7972403592928,520.30429400208,1070.3331791635253,4086041.2882417757,222079130.7368736,15951608.8288431,268926.7239969689,2803749.6030483497,-12880828.404712543,705920.4466881587,-3598841.720575949,146647.76526448873,296485.92836908053,0.34191169237438934,0.22250979762182943,0.8331148925869121,1.3260459360692547,0.8489465859041654,1.054704134905323,1.2883510226587453,1.297087134977631,1.3253688510781916,1.2651529925289438,323207.4552106873,0.008731037278410715,580.0000000000048,0.5430822138878809,25.847059701492636,1170.6494344049436,0.05784825364320543,2.9711292203280487e-05,9.044638720977593e-09
