Distance,Velocity,Y-H2,Y-H,Y-O,Y-O2,Y-OH,Y-H2O,Y-HO2,Y-H2O2,Y-AR,Y-N2,Y_dot_net-H2,Y_dot_net-H,Y_dot_net-O,Y_dot_net-O2,Y_dot_net-OH,Y_dot_net-H2O,Y_dot_net-HO2,Y_dot_net-H2O2,Y_dot_net-AR,Y_dot_net-N2,Y_dot_pos-H2,Y_dot_pos-H,Y_dot_pos-O,Y_dot_pos-O2,Y_dot_pos-OH,Y_dot_pos-H2O,Y_dot_pos-HO2,Y_dot_pos-H2O2,Y_dot_pos-AR,Y_dot_pos-N2,Y_dot_neg-H2,Y_dot_neg-H,Y_dot_neg-O,Y_dot_neg-O2,Y_dot_neg-OH,Y_dot_neg-H2O,Y_dot_neg-HO2,Y_dot_neg-H2O2,Y_dot_neg-AR,Y_dot_neg-N2,Cp-H2,Cp-H,Cp-O,Cp-O2,Cp-OH,Cp-H2O,Cp-HO2,Cp-H2O2,Cp-AR,Cp-N2,h-H2,h-H,h-O,h-O2,h-OH,h-H2O,h-HO2,h-H2O2,h-AR,h-N2,Le-H2,Le-H,Le-O,Le-O2,Le-OH,Le-H2O,Le-HO2,Le-H2O2,Le-AR,Le-N2,EnthalpyTot,MixtureFraction,Temperature,Density,MolarWeightMix,Cp,Conductivity,ViscosityDyn,Heat_Release
0.0,2.1102995377560894,0.013039631164719677,-5.419814226770527e-16,7.554781386699732e-15,0.22996148479315304,-5.252831442940923e-19,3.519515973542146e-17,3.932245982084243e-15,-1.5064330575326515e-16,-8.170963607879606e-19,0.7569988840421165,-8.034179973754089e-12,2.1627504049649974e-10,-6.620700037238163e-11,6.737895787468349e-09,6.558785258250961e-11,-1.574648466733607e-13,-6.945360083633134e-09,4.8278585628557554e-17,0.0,0.0,-1.606835994689706e-11,4.2853299100642186e-10,-1.3009081854703703e-10,1.347579157493652e-08,6.573650673936656e-11,-1.574648466733607e-13,-6.945360130452143e-09,4.82790566955693e-17,0.0,0.0,6.161355229677872e-10,-21.226945512004978,6.383559178059611,-2.9300105594794746e-08,-0.014865416466550237,7.446352443648091e-19,4.680060649139449e-06,-4.710741081623929e-11,0.0,0.0,14512.27811110223,20621.187049664215,1322.2945720148944,996.5304879757766,1735.4625968927883,2003.3765601454477,1254.4744410655817,1553.7972403592885,520.30429400208,1070.3331791635244,4086041.288241705,222079130.7368735,15951608.82884309,268926.7239969642,2803749.603048341,-12880828.404712552,705920.4466881526,-3598841.720575955,146647.76526448628,296485.92836907535,0.3607160544548248,0.24180348743405,0.8914216933219475,1.4193502363507426,0.90810584834138,1.126881098347254,1.3750893521787715,1.3842844798488085,1.4136532932487162,1.4039260115592331,339562.7769829721,0.013039631164715505,580.0,0.5165421104002887,24.58392932862183,1228.6394067652052,0.06405298196635256,2.9631796469237688e-05,-0.04403628539845778
0.01,2.1102995377563856,0.01303963116471779,1.1220835938508215e-19,9.689300329859637e-17,0.22996148479314005,3.0783197575861456e-18,8.45053918334403e-15,1.732579334319484e-14,-1.4763153071931346e-16,4.062746929682215e-19,0.7569988840421165,-2.0845618627345397e-13,6.028356776738976e-14,-8.188537848903251e-13,-1.4256781068485106e-12,3.0856825606553353e-16,9.227921204165348e-13,1.4693911027829095e-12,2.127187893894732e-16,0.0,0.0,-4.1691237254746537e-13,1.6339042370277357e-14,-1.638188546530562e-12,-2.8513562164273876e-12,-8.708502211924406e-13,9.227921204165348e-13,1.4691846854881636e-12,2.1271924920046726e-16,0.0,0.0,1.5986356015819055e-11,0.0043944524904018095,0.08193268229365812,6.199638651660896e-12,0.08711585212780573,4.4197714116152594e-18,2.060602789649746e-05,-4.598177824240038e-11,0.0,0.0,14512.278111102221,20621.187049664215,1322.2945720148896,996.5304879758033,1735.4625968927928,2003.3765601455023,1254.4744410656372,1553.7972403593699,520.30429400208,1070.3331791635399,4086041.28824297,222079130.73687524,15951608.828843202,268926.72399705095,2803749.6030484918,-12880828.404712375,705920.4466882618,-3598841.72057582,146647.76526453157,296485.9283691686,0.3607160544548114,0.2418034874340375,0.8914216933219122,1.4193502363506707,0.9081058483413378,1.126881098347181,1.3750893521787149,1.3842844798487457,1.413653293248652,1.4039260115591485,339562.7769829705,0.013039631164715508,580.0000000000871,0.5165421104002164,24.583929328622073,1228.6394067652175,0.0640529819663574,2.9631796469240504e-05,1.1758430589539186e-05
0.02,2.110299537756457,0.013039631164717748,5.9464627013369945e-21,1.2437872204497242e-18,0.2299614847931391,4.073691087316106e-20,8.56176435750633e-15,1.831003879456659e-14,-1.4524935777560045e-16,2.3453155927710904e-19,0.7569988840421165,-4.639481763000219e-15,-9.091652657529354e-18,-1.0492072062026781e-14,-1.0462757222408938e-13,-3.211664397670494e-16,1.2211759441600993e-14,1.0765282171106862e-13,2.248029888713022e-16,0.0,0.0,-9.278963526031659e-15,-2.3379242158844034e-15,-2.100963340416978e-14,-2.0925514681671478e-13,-1.1849636760206453e-14,1.2211759441600993e-14,1.074346787207961e-13,2.248034412279324e-16,0.0,0.0,3.5579854221849683e-13,0.00023288325618420422,0.0010517560033982323,4.549786877667488e-13,0.0011528470273475977,6.037417623972146e-20,2.1774429961518854e-05,-4.5236320077083894e-11,0.0,0.0,14512.278111102223,20621.187049664215,1322.2945720148898,996.5304879758044,1735.462596892793,2003.3765601455038,1254.4744410656392,1553.7972403593717,520.30429400208,1070.3331791635403,4086041.2882430013,222079130.73687533,15951608.828843208,268926.7239970532,2803749.6030484964,-12880828.404712372,705920.4466882646,-3598841.7205758174,146647.7652645328,296485.92836917104,0.36071605445481036,0.24180348743403712,0.891421693321907,1.4193502363506694,0.9081058483413383,1.1268810983471715,1.3750893521787142,1.384284479848744,1.4136532932486527,1.403926011559145,339562.77698297054,0.013039631164715508,580.0000000000894,0.5165421104002144,24.58392932862208,1228.639406765218,0.06405298196635736,2.963179646924042e-05,2.994915104849185e-07
0.03,2.1102995377564566,0.01303963116471773,2.522458930996397e-21,1.5594206289051687e-20,0.22996148479313852,5.004160971471522e-22,8.563024550318239e-15,1.8893939578379114e-14,-1.4282490716450547e-16,3.7280523903087206e-20,0.7569988840421165,-1.9814361646182813e-15,2.8393021606452542e-18,-1.2105339790949128e-16,-6.206027231735777e-14,1.0050263783369074e-17,1.5001041730186848e-16,6.376788999012749e-14,2.3197190651215086e-16,0.0,0.0,-3.962872329250228e-15,-9.850395079748162e-16,-2.5291921750656093e-16,-1.2412054711805097e-13,-1.3156656479245806e-16,1.5001041730186846e-16,6.35427904071352e-14,2.3197235131772314e-16,0.0,0.0,1.5195492403755349e-13,9.878788098862732e-05,1.318658193914354e-05,2.698724738789224e-13,1.4161682856874036e-05,3.0295563390003064e-21,2.2467508324752954e-05,-4.4481192529111935e-11,0.0,0.0,14512.27811110222,20621.187049664215,1322.2945720148896,996.5304879758041,1735.4625968927928,2003.3765601455038,1254.474441065639,1553.7972403593715,520.30429400208,1070.3331791635403,4086041.288243002,222079130.73687533,15951608.82884321,268926.7239970531,2803749.603048496,-12880828.404712373,705920.4466882646,-3598841.720575818,146647.7652645327,296485.9283691709,0.3607160544548102,0.24180348743403696,0.8914216933219067,1.4193502363506685,0.9081058483413377,1.1268810983471709,1.3750893521787135,1.384284479848743,1.4136532932486514,1.403926011559144,339562.7769829706,0.013039631164715512,580.0000000000892,0.5165421104002146,24.583929328622084,1228.6394067652177,0.06405298196635732,2.9631796469240412e-05,-1.6189804791510707e-08
0.04,2.1102995377564553,0.013039631164717711,2.513753180892289e-21,3.6907388285901024e-21,0.22996148479313797,2.2834502566465864e-22,8.563799670839333e-15,1.9477121567576217e-14,-1.3992788514447383e-16,3.0951731329351655e-19,0.7569988840421165,-1.9600499905447443e-15,-4.444322671947856e-18,-2.0434069367908076e-17,-6.195204209093282e-14,-1.999219637473669e-17,6.845130040462964e-17,6.364937936880564e-14,2.3913200068186946e-16,0.0,0.0,-3.920099981103528e-15,-9.889136715287896e-16,-5.164324356601249e-17,-1.2390408679049943e-13,-8.461341567615679e-17,6.845130040462962e-17,6.341733174198708e-14,2.3913243646512134e-16,0.0,0.0,1.5031483362497908e-13,9.844693486093703e-05,3.120917418658592e-06,2.694018294089621e-13,6.462121929994451e-06,2.4883896449965816e-21,2.3159654341548897e-05,-4.3578934975045866e-11,0.0,0.0,14512.278111102216,20621.187049664215,1322.2945720148896,996.5304879758039,1735.462596892793,2003.3765601455038,1254.4744410656388,1553.7972403593715,520.30429400208,1070.3331791635403,4086041.2882429967,222079130.73687533,15951608.828843208,268926.72399705293,2803749.603048496,-12880828.404712373,705920.4466882644,-3598841.720575818,146647.76526453267,296485.9283691708,0.36071605445481,0.2418034874340368,0.8914216933219061,1.4193502363506678,0.9081058483413372,1.1268810983471702,1.3750893521787135,1.3842844798487426,1.4136532932486512,1.403926011559144,339562.7769829706,0.013039631164715508,580.0000000000891,0.5165421104002149,24.583929328622098,1228.6394067652175,0.06405298196635728,2.963179646924041e-05,-1.7150685017571316e-08
0.05,2.11029953775639,0.013039631164717694,2.4716457641218424e-21,-1.0871707907029376e-21,0.22996148479313738,-6.953832399689548e-23,8.563453614447863e-15,2.0054898223033232e-14,-1.3745437518091647e-16,2.116744940378957e-20,0.7569988840421165,-1.9453864857432802e-15,4.71459067285627e-18,1.978781368118474e-17,-6.142856151434786e-14,2.1168500403798973e-17,-2.0845598396465406e-17,6.310289695928558e-14,2.462257344441748e-16,0.0,0.0,-3.890772971500773e-15,-9.632640933553286e-16,2.898101432916326e-17,-1.2285712576438158e-13,4.084771728964224e-17,-2.0845598396465428e-17,6.286396568194725e-14,2.4622616252406904e-16,0.0,0.0,1.491902999165627e-13,9.67978683788935e-05,-9.193200648977977e-07,2.6712544625731877e-13,-1.9679216885980113e-06,2.26335242447827e-21,2.3845306214909948e-05,-4.2808577849540013e-11,0.0,0.0,14512.278111102218,20621.187049664215,1322.2945720148896,996.5304879758041,1735.4625968927933,2003.3765601455036,1254.4744410656388,1553.7972403593712,520.30429400208,1070.3331791635403,4086041.2882429967,222079130.73687533,15951608.828843206,268926.72399705276,2803749.603048495,-12880828.404712373,705920.4466882643,-3598841.7205758183,146647.76526453256,296485.9283691707,0.36071605445481,0.24180348743403676,0.8914216933219059,1.419350236350667,0.908105848341337,1.12688109834717,1.3750893521787126,1.3842844798487417,1.4136532932486507,1.4039260115591425,339562.77698297054,0.013039631164715512,580.0000000000889,0.5165421104002151,24.583929328622098,1228.6394067652175,0.06405298196635725,2.9631796469240412e-05,-2.088130586515437e-08
0.06,2.110299537756389,0.013039631164717676,2.5201939389894235e-21,4.130204225173406e-21,0.22996148479313683,2.6273557408136192e-22,8.564357840422487e-15,2.0638739683666128e-14,-1.343629694088607e-16,3.694774891445744e-19,0.7569988840421165,-1.962517224483436e-15,-5.733118940234091e-18,-2.4122614837069616e-17,-6.203211349706371e-14,-2.5745007361042634e-17,7.876060210103227e-17,6.371807692963446e-14,2.5339393095003425e-16,0.0,0.0,-3.925034448981787e-15,-9.92724882878354e-16,-5.904794256319516e-17,-1.2406422986118617e-13,-1.0009868816310485e-16,7.876060210103224e-17,6.347218973937667e-14,2.533943494022371e-16,0.0,0.0,1.5050404403334985e-13,9.869917636893791e-05,3.492532771170066e-06,2.697500253889311e-13,7.4353680800108685e-06,2.5247529429980813e-21,2.4538075530457924e-05,-4.1845782537899e-11,0.0,0.0,14512.278111102218,20621.187049664215,1322.2945720148896,996.5304879758041,1735.4625968927926,2003.3765601455038,1254.4744410656383,1553.7972403593715,520.30429400208,1070.3331791635403,4086041.288242993,222079130.73687533,15951608.828843208,268926.7239970526,2803749.603048495,-12880828.404712375,705920.4466882639,-3598841.720575819,146647.76526453247,296485.92836917046,0.3607160544548108,0.24180348743403673,0.891421693321907,1.4193502363506716,0.9081058483413419,1.1268810983471786,1.3750893521787098,1.3842844798487461,1.4136532932486514,1.4039260115591472,339562.7769829705,0.01303963116471551,580.0000000000888,0.5165421104002154,24.583929328622105,1228.6394067652175,0.06405298196635745,2.9631796469240626e-05,-1.6622264262982666e-08
0.07,2.1102995377564526,0.013039631164717657,2.376107989018865e-21,-1.1667090128506126e-20,0.22996148479313627,-7.397144043196311e-22,8.56145408140477e-15,2.1204147646742178e-14,-1.3288804485559944e-16,-1.2135566496239013e-18,0.7569988840421165,-1.9124675074321447e-15,2.5670873496178087e-17,1.0884291441741276e-16,-6.024083326373374e-14,1.15290540617517e-16,-2.2174519782559002e-16,6.18649058251971e-14,2.6033581526326435e-16,0.0,0.0,-3.8249350148787366e-15,-9.04892040376817e-16,2.0750073474241651e-16,-1.2048166952436996e-13,3.2462834687308486e-16,-2.2174519782559004e-16,6.161228233400016e-14,2.6033622912204396e-16,0.0,0.0,1.466657669853919e-13,9.305629136518832e-05,-9.865782044010872e-06,2.6196054662026017e-13,-2.093378062710529e-05,1.7625758445896862e-21,2.5208895804827062e-05,-4.138642793937451e-11,0.0,0.0,14512.278111102223,20621.187049664215,1322.2945720148898,996.5304879758041,1735.4625968927928,2003.3765601455036,1254.4744410656383,1553.7972403593712,520.30429400208,1070.33317916354,4086041.288242991,222079130.73687533,15951608.828843208,268926.72399705247,2803749.603048495,-12880828.404712377,705920.4466882637,-3598841.7205758193,146647.76526453235,296485.92836917035,0.3607160544548107,0.24180348743403665,0.8914216933219066,1.419350236350671,0.9081058483413414,1.1268810983471782,1.3750893521787098,1.3842844798487457,1.413653293248651,1.4039260115591459,339562.7769829705,0.013039631164715508,580.0000000000886,0.5165421104002157,24.58392932862211,1228.6394067652172,0.0640529819663574,2.963179646924062e-05,-2.933669593897885e-08
0.08,2.1102995377564517,0.01303963116471764,2.6245573234934044e-21,1.5355956960643064e-20,0.2299614847931357,9.776225521878403e-22,8.565111690509375e-15,2.18013045503672e-14,-1.2845334650382698e-16,5.319701258276112e-19,0.7569988840421165,-1.9993065168715445e-15,-2.821064322555864e-17,-1.1860110231669887e-16,-6.332956141139252e-14,-1.2667460675218146e-16,2.9306324846064827e-16,6.50416235357539e-14,2.6766749634395814e-16,0.0,0.0,-3.9986130337594965e-15,-1.056074579488514e-15,-2.4845226709491027e-16,-1.2665912596016132e-13,-4.0333997817925733e-16,2.930632484606482e-16,6.478188547839862e-14,2.6766789639158185e-16,0.0,0.0,1.5332538858647927e-13,0.00010278639359931868,1.2985116457881252e-05,2.753920492511329e-13,2.7666537140002845e-05,3.0857787589126926e-21,2.5917302634742434e-05,-4.000527625663816e-11,0.0,0.0,14512.278111102223,20621.187049664215,1322.2945720148898,996.5304879758041,1735.4625968927928,2003.3765601455036,1254.4744410656383,1553.7972403593712,520.30429400208,1070.33317916354,4086041.288242991,222079130.73687533,15951608.828843208,268926.72399705247,2803749.603048495,-12880828.404712377,705920.4466882637,-3598841.7205758193,146647.76526453235,296485.92836917035,0.3607160544548108,0.2418034874340367,0.8914216933219067,1.4193502363506711,0.9081058483413418,1.1268810983471784,1.37508935217871,1.3842844798487457,1.4136532932486512,1.4039260115591465,339562.77698297065,0.01303963116471551,580.0000000000886,0.5165421104002159,24.58392932862212,1228.639406765217,0.0640529819663574,2.963179646924062e-05,-7.463723718845497e-09
0.09,2.1102995377563856,0.013039631164717585,2.475129969668219e-21,-8.415457809906038e-22,0.22996148479313513,-5.838974371500238e-23,8.564794572234176e-15,2.237922563735559e-14,-1.2571552526765973e-16,2.5241172000819627e-19,0.7569988840421165,-1.947713574209396e-15,4.513607820919238e-18,1.7725724434028443e-17,-6.14718767042406e-14,2.0237269852040523e-17,-1.7503573248398912e-17,6.31198542347779e-14,2.7476301481350066e-16,0.0,0.0,-3.895427148434676e-15,-9.64829606981244e-16,2.484190092222119e-17,-1.2294375668436454e-13,3.6761459168558023e-17,-1.7503573248398937e-17,6.285323078250318e-14,2.74763406334605e-16,0.0,0.0,1.4936876266881554e-13,9.693432145622383e-05,-7.116176488791606e-07,2.673138070609896e-13,-1.652418931661399e-06,2.304213043287479e-21,2.6602810198272113e-05,-3.915260264670191e-11,0.0,0.0,14512.278111102218,20621.187049664215,1322.2945720148894,996.5304879758038,1735.462596892793,2003.3765601455036,1254.474441065638,1553.7972403593706,520.30429400208,1070.33317916354,4086041.2882429906,222079130.73687533,15951608.828843208,268926.7239970523,2803749.6030484946,-12880828.404712375,705920.4466882636,-3598841.7205758197,146647.7652645323,296485.9283691701,0.3607160544548105,0.24180348743403635,0.8914216933219059,1.4193502363506694,0.9081058483413407,1.126881098347177,1.3750893521787089,1.3842844798487444,1.41365329324865,1.4039260115591443,339562.7769829705,0.013039631164715472,580.0000000000884,0.5165421104002162,24.583929328622133,1228.6394067652163,0.06405298196635731,2.963179646924062e-05,-2.064623127795021e-08
