Distance,Velocity,Y-H2,Y-H,Y-O,Y-O2,Y-OH,Y-H2O,Y-HO2,Y-H2O2,Y-AR,Y-N2,Y_dot_net-H2,Y_dot_net-H,Y_dot_net-O,Y_dot_net-O2,Y_dot_net-OH,Y_dot_net-H2O,Y_dot_net-HO2,Y_dot_net-H2O2,Y_dot_net-AR,Y_dot_net-N2,Y_dot_pos-H2,Y_dot_pos-H,Y_dot_pos-O,Y_dot_pos-O2,Y_dot_pos-OH,Y_dot_pos-H2O,Y_dot_pos-HO2,Y_dot_pos-H2O2,Y_dot_pos-AR,Y_dot_pos-N2,Y_dot_neg-H2,Y_dot_neg-H,Y_dot_neg-O,Y_dot_neg-O2,Y_dot_neg-OH,Y_dot_neg-H2O,Y_dot_neg-HO2,Y_dot_neg-H2O2,Y_dot_neg-AR,Y_dot_neg-N2,Cp-H2,Cp-H,Cp-O,Cp-O2,Cp-OH,Cp-H2O,Cp-HO2,Cp-H2O2,Cp-AR,Cp-N2,h-H2,h-H,h-O,h-O2,h-OH,h-H2O,h-HO2,h-H2O2,h-AR,h-N2,Le-H2,Le-H,Le-O,Le-O2,Le-OH,Le-H2O,Le-HO2,Le-H2O2,Le-AR,Le-N2,EnthalpyTot,MixtureFraction,Temperature,Density,MolarWeightMix,Cp,Conductivity,ViscosityDyn,Heat_Release
0.0,0.7785386613855919,0.013039631164718348,3.428612733772048e-17,-1.6633777478492325e-16,0.22996148479313727,1.1766780335080042e-18,-1.180223648060668e-19,-1.2987812678995723e-14,-2.9703484802395543e-16,1.767372095824692e-18,0.7569988840421578,5.429111189645745e-15,-4.673779707313598e-11,1.7341750522501614e-13,-1.4835606849306643e-09,-3.1688857701597624e-13,1.4463698485742043e-13,1.5302918871928727e-09,-2.1332842789026265e-19,0.0,0.0,1.085822254736708e-14,-9.347287959059309e-11,3.4495402938705377e-13,-2.9671213698586486e-09,-4.5343263502754884e-13,1.4463698485742043e-13,1.5302918874116001e-09,-2.1332766400797415e-19,0.0,0.0,-4.163546717676701e-13,4.673492228150747,-0.017153937750987194,6.451344172690542e-09,0.013654404194473512,-5.813510169149449e-25,-2.1901195275285722e-08,-7.63904979157845e-14,0.0,0.0,14537.563163123805,20621.187049696095,1336.3558896747656,949.9328633400539,1736.2080283074263,1916.6622799482857,1148.5436662911786,1397.2479957237529,520.30429400208,1049.5846693617045,1906662.1301757307,218985952.67942172,15752387.18948469,122966.1516216925,2543603.79976327,-13174590.014879191,525504.3294794917,-3820541.449081569,68602.12116417427,137630.01846275688,0.3606108257741139,0.2450394956186223,0.8965985079173066,1.4323047575361942,0.9133855696347442,1.1876533474693194,1.3881769658583443,1.3974634808415953,1.43214833911171,1.414709909671034,157325.4201264579,0.013039631164719163,430.0,0.6967312186794612,24.583929328621892,1202.5468568029585,0.05120682112710252,2.4097518954247972e-05,0.009613143234215752
0.01,0.7785386613856004,0.013039631164718388,5.014614383178854e-22,-9.15045963430546e-18,0.22996148479313752,-8.651102353633254e-20,-1.802748444930756e-16,-1.4018733516423608e-14,4.818691549925565e-16,-3.566501173794355e-19,0.7569988840421578,2.3790872277586804e-15,-1.873080761959537e-15,9.436477181868692e-15,-2.1698238134593485e-14,7.957223708875176e-18,-1.0633914515104588e-14,2.2381942040732494e-14,-2.3026241112578358e-19,0.0,0.0,4.7581744555200145e-15,-2.556617910038385e-15,1.8872926852917846e-14,-4.339647626914413e-14,1.0046868362111706e-14,-1.0633914515104588e-14,2.2382165479537945e-14,-2.3026240886304806e-19,0.0,0.0,-1.8245050000907827e-13,6.835371480445712e-05,-0.0009436458305842239,9.435596640509515e-14,-0.001003891122525048,-1.298785135650953e-26,-2.237524780849206e-08,-2.2626265073834237e-16,0.0,0.0,14537.563163123808,20621.187049696095,1336.355889674765,949.9328633400554,1736.2080283074258,1916.6622799482884,1148.5436662911823,1397.2479957237585,520.30429400208,1049.584669361705,1906662.1301758057,218985952.67942184,15752387.189484695,122966.15162169738,2543603.799763279,-13174590.014879184,525504.3294794975,-3820541.4490815615,68602.12116417693,137630.01846276232,0.3606108257741126,0.24503949561862173,0.8965985079173087,1.4323047575361896,0.9133855696347426,1.1876533474693114,1.3881769658583465,1.3974634808415902,1.4321483391117056,1.4147099096710325,157325.42012645808,0.013039631164719167,430.0000000000051,0.6967312186794532,24.583929328621906,1202.5468568029592,0.05120682112710284,2.409751895424805e-05,1.0778297496261604e-07
0.02,0.7785386613856055,0.01303963116471839,-4.0200747052535405e-23,-4.740248788769231e-19,0.22996148479313827,-4.302503573064081e-21,-1.887906455684685e-16,-1.552632064573154e-14,1.2441351661822523e-15,3.3419498275416046e-19,0.7569988840421578,1.2079597871341908e-16,-5.600746953947077e-18,4.888379283769105e-16,1.7394839158567172e-15,-2.037026445098354e-17,-5.288627197627888e-16,-1.794029066737187e-15,-2.5502504213972377e-19,0.0,0.0,2.4159195742683817e-16,4.9196495448840136e-17,9.776780622187526e-16,3.47896783171422e-15,4.789008027155842e-16,-5.288627197627888e-16,-1.793781599327663e-15,-2.5502504519569137e-19,0.0,0.0,-9.263757317585928e-15,-5.479724240300751e-06,-4.8884015701408186e-05,-7.564240235040282e-15,-4.992710673813794e-05,-3.5182665737253833e-32,-2.4785223284825243e-08,3.0555874809942243e-16,0.0,0.0,14537.563163123808,20621.187049696095,1336.3558896747647,949.9328633400563,1736.2080283074258,1916.6622799482898,1148.5436662911843,1397.2479957237615,520.30429400208,1049.5846693617052,1906662.1301758455,218985952.67942193,15752387.189484699,122966.15162170002,2543603.7997632837,-13174590.014879178,525504.3294795009,-3820541.4490815583,68602.12116417839,137630.0184627652,0.36061082577411363,0.24503949561862254,0.8965985079173053,1.4323047575361993,0.9133855696347482,1.1876533474693194,1.3881769658583505,1.3974634808416002,1.4321483391117136,1.4147099096710465,157325.42012645805,0.013039631164719168,430.00000000000796,0.6967312186794484,24.5839293286219,1202.5468568029596,0.05120682112710324,2.409751895424833e-05,-1.2892034091233927e-08
0.03,0.778538661385608,0.01303963116471839,-6.134112158746058e-24,-3.684617026524481e-20,0.229961484793139,-4.5922071640775695e-22,-1.899889764124191e-16,-1.6985047208319107e-14,1.9927651077372065e-15,-2.0287890233726702e-20,0.7569988840421578,1.1121238531632981e-17,2.800728607851846e-18,3.7997430272701753e-17,2.654206686915342e-16,1.289675131879931e-17,-5.644730165276721e-17,-2.735105306506159e-16,-2.7898511913708735e-19,0.0,0.0,2.2242477063265966e-17,1.1162076481547255e-17,7.599519707072319e-17,5.308413373839278e-16,6.618563609307652e-17,-5.644730165276721e-17,-2.732398132199253e-16,-2.7898512473842815e-19,0.0,0.0,-8.528798385950639e-16,-8.361347873700539e-07,-3.799776693802866e-06,-1.1541961860248457e-15,-5.328888477672436e-06,-3.5405988637707615e-32,-2.7117802785108077e-08,5.600224815427717e-16,0.0,0.0,14537.56316312381,20621.187049696095,1336.355889674764,949.9328633400572,1736.2080283074256,1916.662279948291,1148.5436662911866,1397.2479957237651,520.30429400208,1049.5846693617054,1906662.1301758885,218985952.679422,15752387.189484704,122966.1516217029,2543603.799763289,-13174590.01487917,525504.3294795041,-3820541.449081554,68602.1211641799,137630.0184627683,0.36061082577411485,0.2450394956186226,0.8965985079173111,1.4323047575362016,0.9133855696347459,1.1876533474693147,1.3881769658583536,1.3974634808416,1.4321483391117134,1.4147099096710531,157325.42012645805,0.013039631164719163,430.00000000001086,0.6967312186794437,24.5839293286219,1202.54685680296,0.0512068211271035,2.4097518954248474e-05,-1.899521847363492e-09
0.04,0.7785386613856159,0.01303963116471839,-1.500392426550869e-23,-4.7041323735508287e-20,0.2299614847931397,-8.849782433157914e-22,-1.9271849847056592e-16,-1.842803709634642e-14,2.72819054341343e-15,-1.4145049282216236e-18,0.7569988840421578,1.8303993396403085e-17,1.12997047066127e-17,4.8510738210916e-17,6.492174269148094e-16,5.112577879430857e-17,-1.0878131598103498e-16,-6.693736393265873e-16,-3.026867154274144e-19,0.0,0.0,3.6607986792806176e-17,3.1751406111456314e-17,9.702229955650567e-17,1.2984348538305512e-15,1.5382041331495445e-16,-1.0878131598103498e-16,-6.690799226948812e-16,-3.026867230399751e-19,0.0,0.0,-1.4037201782126627e-15,-2.0451701404874306e-06,-4.851156157379447e-06,-2.8231572233563783e-15,-1.0269463452973414e-05,-3.591466704263718e-32,-2.942588930857535e-08,7.610484439414405e-16,0.0,0.0,14537.563163123808,20621.187049696095,1336.355889674764,949.932863340058,1736.2080283074254,1916.662279948292,1148.5436662911884,1397.247995723768,520.30429400208,1049.5846693617057,1906662.1301759302,218985952.67942205,15752387.189484706,122966.15162170555,2543603.799763294,-13174590.014879167,525504.3294795074,-3820541.44908155,68602.1211641814,137630.0184627713,0.3606108257741147,0.24503949561862312,0.8965985079173101,1.432304757536201,0.9133855696347486,1.1876533474693158,1.3881769658583512,1.3974634808416004,1.4321483391117182,1.4147099096710583,157325.42012645802,0.013039631164719167,430.0000000000137,0.696731218679439,24.5839293286219,1202.5468568029605,0.05120682112710371,2.4097518954248535e-05,-4.565958477086204e-09
0.05,0.778538661385621,0.01303963116471839,1.5797360267988642e-23,4.649019056334836e-20,0.22996148479314035,9.153316310795504e-22,-1.8979568326916348e-16,-1.981991308828537e-14,3.4541242362717513e-15,1.20895938197584e-19,0.7569988840421578,-1.8612964909153454e-17,-1.2226743751178895e-17,-4.794233602813168e-17,-6.835541150010395e-16,-5.5252167449432724e-17,1.1251234720551317e-16,7.054015286826042e-16,-3.2554874918105925e-19,0.0,0.0,-3.7225929818188684e-17,-3.375996995684382e-17,-9.588553871972912e-17,-1.3671082294440554e-15,-1.6146906941594186e-16,1.1251234720551317e-16,7.057174304135792e-16,-3.255487592042143e-19,0.0,0.0,1.427414982804313e-15,2.153322620563091e-06,4.7943202468708565e-06,2.9724721730170407e-15,1.0621690195678676e-05,-4.345440900477999e-25,-3.165290888781856e-08,1.0019694107847035e-15,0.0,0.0,14537.56316312381,20621.187049696095,1336.3558896747636,949.9328633400588,1736.2080283074251,1916.6622799482936,1148.543666291191,1397.247995723771,520.30429400208,1049.5846693617061,1906662.1301759724,218985952.6794221,15752387.189484712,122966.15162170831,2543603.799763299,-13174590.014879163,525504.3294795105,-3820541.449081546,68602.1211641829,137630.0184627743,0.36061082577411435,0.2450394956186225,0.8965985079173098,1.4323047575362011,0.9133855696347465,1.1876533474693147,1.3881769658583496,1.3974634808415978,1.43214833911171,1.414709909671062,157325.420126458,0.013039631164719165,430.0000000000166,0.6967312186794343,24.5839293286219,1202.546856802961,0.05120682112710383,2.4097518954248525e-05,4.803142361951822e-09
0.06,0.7785386613856263,0.01303963116471839,3.5062387068665236e-23,1.0829452230861783e-19,0.229961484793141,2.0600111218832673e-21,-1.8346640884324243e-16,-2.1172137494850843e-14,4.1697271300105815e-15,3.380877192302464e-18,0.7569988840421578,-4.2388579826580116e-17,-2.6598904598593188e-17,-1.1167725366352001e-16,-1.5171518002220346e-15,-1.203303355570188e-16,2.532160789834934e-16,1.565278554376527e-15,-3.477594922738538e-19,0.0,0.0,-8.477715965287993e-17,-7.439209911030256e-17,-2.233564308945894e-16,-3.0343035990582667e-15,-3.5937812102902475e-16,2.532160789834934e-16,1.565616009498599e-15,-3.47759504673822e-19,0.0,0.0,3.2507499068289612e-15,4.779319451154178e-06,1.116791760216451e-05,6.597416954995715e-15,2.3904778542276187e-05,-9.784274642394996e-25,-3.3817110257988276e-08,1.2394799914685004e-15,0.0,0.0,14537.563163123812,20621.187049696095,1336.3558896747631,949.9328633400597,1736.2080283074251,1916.6622799482957,1148.5436662911932,1397.2479957237745,520.30429400208,1049.5846693617066,1906662.1301760152,218985952.67942214,15752387.189484714,122966.15162171113,2543603.7997633037,-13174590.014879154,525504.3294795142,-3820541.449081541,68602.12116418444,137630.01846277743,0.3606108257741155,0.24503949561862307,0.8965985079173094,1.432304757536205,0.9133855696347482,1.187653347469312,1.388176965858352,1.397463480841604,1.4321483391117142,1.4147099096710707,157325.42012645816,0.013039631164719168,430.00000000001955,0.6967312186794296,24.5839293286219,1202.5468568029617,0.05120682112710411,2.4097518954248728e-05,1.0669550259736161e-08
0.065,0.778538661385629,0.01303963116471839,-4.9531546202475435e-23,-1.3815691611516398e-19,0.22996148479314135,-2.8258023339026266e-21,-1.8800296745450694e-16,-2.1880379214046304e-14,4.520946547672055e-15,9.36291472783715e-19,0.7569988840421578,5.684457832093153e-17,3.9093673672096216e-17,1.4247217873151956e-16,2.143227582831213e-15,1.7645745583675157e-16,-3.473469533359159e-16,-2.210389123456165e-15,-3.5939260043118612e-19,0.0,0.0,1.1368915664186311e-16,1.0660963650469309e-16,2.849470748276697e-16,4.286455165663533e-15,5.043691758136474e-16,-3.473469533359159e-16,-2.210040381414373e-15,-3.5939261252445303e-19,0.0,0.0,-4.359370104818874e-15,-6.751596283293129e-06,-1.424748980645394e-05,-9.31994148788451e-15,-3.279117200695572e-05,-3.5035872781979035e-32,-3.495067758715854e-08,1.208780204034726e-15,0.0,0.0,14537.563163123812,20621.187049696095,1336.3558896747627,949.93286334006,1736.2080283074251,1916.6622799482961,1148.5436662911939,1397.247995723776,520.30429400208,1049.5846693617066,1906662.1301760345,218985952.6794222,15752387.18948472,122966.15162171231,2543603.7997633065,-13174590.014879154,525504.3294795156,-3820541.44908154,68602.12116418511,137630.01846277874,0.36061082577411585,0.24503949561862326,0.8965985079173113,1.4323047575362073,0.9133855696347515,1.1876533474693147,1.3881769658583543,1.397463480841602,1.4321483391117127,1.4147099096710753,157325.42012645805,0.013039631164719167,430.00000000002086,0.6967312186794274,24.5839293286219,1202.5468568029617,0.05120682112710428,2.409751895424883e-05,-1.504196572702818e-08
0.07,0.7785386613856312,0.01303963116471839,-6.220884653028174e-23,-1.9203793234342996e-19,0.2299614847931417,-3.6536465644963555e-21,-1.9359223002474859e-16,-2.2587757107087402e-14,4.868780218650675e-15,-1.944243903508361e-18,0.7569988840421578,7.52343505641715e-17,4.7179090778865403e-17,1.980365060005369e-16,2.691774351384521e-15,2.1345556864155056e-16,-4.491053700105888e-16,-2.776203485838142e-15,-3.710115209149886e-19,0.0,0.0,1.5046870112834302e-16,1.319753568398526e-16,3.9607642485878233e-16,5.383548702770184e-15,6.374319787314696e-16,-4.491053700105888e-16,-2.7758434692015027e-15,-3.710115336631766e-19,0.0,0.0,-5.7696686015198076e-15,-8.479626606151468e-06,-1.980399226613632e-05,-1.1705326888500281e-14,-4.23976410244825e-05,-3.607749721002025e-32,-3.60831674461171e-08,1.2741984231097784e-15,0.0,0.0,14537.56316312381,20621.187049696095,1336.3558896747627,949.9328633400602,1736.2080283074251,1916.6622799482973,1148.5436662911948,1397.2479957237774,520.30429400208,1049.584669361707,1906662.1301760515,218985952.6794222,15752387.18948472,122966.15162171349,2543603.7997633084,-13174590.014879152,525504.3294795168,-3820541.4490815382,68602.12116418574,137630.01846277996,0.3606108257741159,0.24503949561862345,0.8965985079173129,1.432304757536204,0.9133855696347538,1.1876533474693145,1.388176965858358,1.3974634808416042,1.4321483391117218,1.4147099096710745,157325.4201264579,0.013039631164719163,430.00000000002206,0.6967312186794256,24.5839293286219,1202.5468568029619,0.05120682112710451,2.4097518954248887e-05,-1.8927785513481908e-08
0.07500000000000001,0.7785386613856338,0.01303963116471839,5.915178648867858e-23,1.604199225892427e-19,0.22996148479314202,3.3495788999604198e-21,-1.8827864893312974e-16,-2.3235593963460754e-14,5.21876925785136e-15,9.650122845416486e-19,0.7569988840421578,-6.689878064139765e-17,-4.7179827303274e-17,-1.654304681583852e-16,-2.559500082397859e-15,-2.1283165558044666e-16,4.1172944469962503e-16,2.6404930218440762e-15,-3.8165246233922855e-19,0.0,0.0,-1.3379756128227636e-16,-1.2780904492695035e-16,-3.3086418145963377e-16,-5.119000162537389e-15,-6.015234494198834e-16,4.1172944469962503e-16,2.6408633664322486e-15,-3.816524782374257e-19,0.0,0.0,5.130419698571228e-15,8.062921762319942e-06,1.654337106473623e-05,1.1130125039549925e-14,3.886917937092414e-05,-1.487586157130995e-24,-3.712071099404595e-08,1.5889904617832107e-15,0.0,0.0,14537.563163123812,20621.187049696095,1336.3558896747625,949.9328633400609,1736.2080283074247,1916.6622799482977,1148.5436662911957,1397.2479957237792,520.30429400208,1049.584669361707,1906662.1301760734,218985952.67942223,15752387.189484721,122966.15162171486,2543603.799763311,-13174590.014879147,525504.3294795187,-3820541.449081536,68602.12116418652,137630.01846278165,0.3606108257741154,0.24503949561862268,0.8965985079173124,1.4323047575362013,0.9133855696347464,1.187653347469319,1.3881769658583551,1.3974634808416009,1.4321483391117138,1.4147099096710742,157325.42012645808,0.013039631164719163,430.0000000000236,0.6967312186794231,24.5839293286219,1202.546856802962,0.05120682112710452,2.4097518954248843e-05,1.7956606868263246e-08
