Distance,Velocity,Y-H2,Y-H,Y-O,Y-O2,Y-OH,Y-H2O,Y-HO2,Y-H2O2,Y-AR,Y-N2,Y_dot_net-H2,Y_dot_net-H,Y_dot_net-O,Y_dot_net-O2,Y_dot_net-OH,Y_dot_net-H2O,Y_dot_net-HO2,Y_dot_net-H2O2,Y_dot_net-AR,Y_dot_net-N2,Y_dot_pos-H2,Y_dot_pos-H,Y_dot_pos-O,Y_dot_pos-O2,Y_dot_pos-OH,Y_dot_pos-H2O,Y_dot_pos-HO2,Y_dot_pos-H2O2,Y_dot_pos-AR,Y_dot_pos-N2,Y_dot_neg-H2,Y_dot_neg-H,Y_dot_neg-O,Y_dot_neg-O2,Y_dot_neg-OH,Y_dot_neg-H2O,Y_dot_neg-HO2,Y_dot_neg-H2O2,Y_dot_neg-AR,Y_dot_neg-N2,Cp-H2,Cp-H,Cp-O,Cp-O2,Cp-OH,Cp-H2O,Cp-HO2,Cp-H2O2,Cp-AR,Cp-N2,h-H2,h-H,h-O,h-O2,h-OH,h-H2O,h-HO2,h-H2O2,h-AR,h-N2,Le-H2,Le-H,Le-O,Le-O2,Le-OH,Le-H2O,Le-HO2,Le-H2O2,Le-AR,Le-N2,EnthalpyTot,MixtureFraction,Temperature,Density,MolarWeightMix,Cp,Conductivity,ViscosityDyn,Heat_Release
0.0,1.002433268363374,0.010171408999621412,-5.876824207858824e-17,8.77222915677256e-17,0.23062977974056284,5.50663251376186e-19,1.3022888227741358e-18,-2.0309650658574173e-15,1.998859522637981e-16,8.281813618493966e-19,0.7591988112598175,-9.490706079696896e-14,2.4517707031285574e-11,-8.881058393949911e-13,7.767592324403391e-10,2.4034505022843933e-13,1.3756852151561246e-13,-8.00671819362131e-10,-2.0781046125294213e-17,0.0,0.0,-1.8981412159392912e-13,4.8987960532175974e-11,-1.5062955309753597e-12,1.5535184648808452e-09,1.1047395139805191e-13,1.3756852151561246e-13,-8.006717991973659e-10,-2.0781674689377747e-17,0.0,0.0,9.330768304291469e-12,-2.4470397309113685,0.06181842687263024,-3.36799191015405e-09,0.012987109167886363,-2.2620842365483287e-21,-2.0168861233548474e-06,6.285515196710044e-11,0.0,0.0,14512.27811110223,20621.187049664215,1322.2945720148944,996.5304879757766,1735.4625968927883,2003.3765601454477,1254.4744410655817,1553.7972403592885,520.30429400208,1070.3331791635244,4086041.288241705,222079130.7368735,15951608.82884309,268926.7239969642,2803749.603048341,-12880828.404712552,705920.4466881526,-3598841.720575955,146647.76526448628,296485.92836907535,0.34858162086642325,0.22912999932484618,0.8534012179241472,1.3585020344967607,0.8695358577418287,1.0798569559222286,1.3186146220018753,1.3275142263968291,1.3561963575022533,1.312390560010941,328675.07262686896,0.01017140899962115,580.0,0.5339114577377134,25.41059340659337,1190.0356004037687,0.059953408540436015,2.9685808345828707e-05,-0.00507289920699881
0.01,1.0024332683633597,0.01017140899962136,-4.558085629835836e-21,6.581574499422774e-19,0.23062977974056348,2.070296384189734e-20,9.62489509065438e-17,-2.6854520200793506e-15,1.980570496548954e-16,-6.859059928928433e-19,0.7591988112598175,-2.77827894191532e-15,3.287060978204078e-15,-4.65905064259051e-15,3.458776877869054e-14,2.539460339626863e-17,5.172083155390993e-15,-3.560750031310185e-14,-2.7477618074207945e-17,0.0,0.0,-5.556557883830639e-15,5.184982489820871e-15,-9.297166493342785e-15,6.917553769674522e-14,-4.85729305820438e-15,5.172083155390993e-15,-3.558083745240633e-14,-2.747824244922391e-17,0.0,0.0,2.7314592691015413e-13,-0.0001897921512481881,0.0004638115545491245,-1.4997095759039836e-13,0.0004882687651492038,3.6145835579042243e-22,-2.667002280217286e-06,6.243626500245036e-11,0.0,0.0,14512.278111102232,20621.187049664215,1322.294572014895,996.5304879757738,1735.462596892788,2003.3765601454413,1254.474441065576,1553.79724035928,520.30429400208,1070.3331791635228,4086041.288241579,222079130.7368733,15951608.828843078,268926.72399695544,2803749.6030483255,-12880828.404712569,705920.4466881416,-3598841.72057597,146647.7652644817,296485.92836906615,0.348581620866422,0.22912999932484646,0.853401217924148,1.358502034496759,0.8695358577418304,1.0798569559222329,1.3186146220018775,1.3275142263968258,1.356196357502254,1.31239056001094,328675.07262686855,0.010171408999621146,579.9999999999912,0.5339114577377209,25.41059340659335,1190.0356004037671,0.059953408540435335,2.9685808345828385e-05,-5.620310137969143e-07
0.02,1.002433268363359,0.010171408999621328,1.932411277568293e-21,3.252050260180939e-21,0.23062977974056253,5.334577410835588e-23,9.620046004643555e-17,-1.6989631628295383e-15,1.9721015177099517e-16,-1.2882650522139815e-18,0.7591988112598175,-1.6200262522397464e-15,5.384770395870425e-18,-1.404224001724724e-17,-5.1202102763699864e-14,2.121531957960214e-17,1.332701838063542e-17,5.2813628211560985e-14,-1.7384063960243998e-17,0.0,0.0,-3.2400525044784874e-15,-7.992435825626938e-16,-3.695983498008747e-17,-1.0240420543961156e-13,8.633992817561897e-18,1.332701838063542e-17,5.283049658860477e-14,-1.738468566526303e-17,0.0,0.0,1.592725502146583e-13,8.046283528030769e-05,2.291759495538731e-06,2.2200993614653448e-13,1.2581326761973127e-06,2.4479741049489247e-23,-1.6871243405893027e-06,6.21692758621466e-11,0.0,0.0,14512.278111102234,20621.187049664215,1322.2945720148948,996.5304879757739,1735.4625968927883,2003.3765601454418,1254.4744410655758,1553.7972403592796,520.30429400208,1070.333179163523,4086041.288241575,222079130.7368733,15951608.828843078,268926.72399695514,2803749.6030483255,-12880828.40471257,705920.4466881411,-3598841.72057597,146647.76526448163,296485.9283690658,0.3485816208664215,0.22912999932484615,0.8534012179241472,1.3585020344967569,0.8695358577418294,1.0798569559222315,1.318614622001876,1.327514226396824,1.356196357502252,1.3123905600109345,328675.0726268685,0.010171408999621146,579.999999999991,0.5339114577377214,25.410593406593364,1190.0356004037674,0.05995340854043531,2.9685808345828382e-05,-1.781534281613486e-08
0.03,1.0024332683633583,0.010171408999621299,2.0578705402994937e-21,1.703689772174031e-20,0.23062977974056154,1.0761693874179968e-21,1.0297168150009433e-16,-6.780709204950732e-16,1.9988989046476746e-16,1.93961511476915e-18,0.7591988112598175,-1.6614811960487069e-15,-2.612719445822119e-17,-1.1060952120008589e-16,-5.286039393180249e-14,-1.1613591650030457e-16,2.6885220896477267e-16,5.451283406363662e-14,-6.938512591596811e-18,0.0,0.0,-3.3229623920969866e-15,-8.829949858370724e-16,-2.306706181027598e-16,-1.0572078782856405e-13,-3.699449377532356e-16,2.6885220896477267e-16,5.451956637909141e-14,-6.939142744505404e-18,0.0,0.0,1.6334818455109392e-13,8.568677912025191e-05,1.2006109669812702e-05,2.292002097644672e-13,2.5380902122561688e-05,3.498152391900489e-23,-6.732771984478517e-07,6.301403127262644e-11,0.0,0.0,14512.27811110223,20621.187049664215,1322.294572014895,996.5304879757738,1735.462596892788,2003.3765601454418,1254.4744410655758,1553.7972403592796,520.30429400208,1070.3331791635226,4086041.288241575,222079130.73687333,15951608.82884308,268926.7239969551,2803749.603048325,-12880828.404712569,705920.4466881411,-3598841.72057597,146647.76526448154,296485.92836906575,0.3485816208664215,0.22912999932484496,0.8534012179241438,1.3585020344967542,0.8695358577418273,1.0798569559222195,1.3186146220018737,1.3275142263968207,1.3561963575022493,1.3123905600109287,328675.0726268687,0.010171408999621146,579.9999999999909,0.5339114577377218,25.41059340659337,1190.0356004037667,0.05995340854043501,2.9685808345828246e-05,-6.146881796577131e-09
0.04,1.0024332683633572,0.01017140899962127,1.849603450419067e-21,-1.2037860548697475e-20,0.23062977974056062,-7.634816947734972e-22,9.788417865322628e-17,2.8477025229557e-16,1.9771749748206026e-16,-8.248430748393537e-19,0.7591988112598175,-1.5848159512260097e-15,2.225961520889169e-17,9.332729961570622e-17,-5.010756814993075e-14,9.891706097812652e-17,-1.9073553154749008e-16,5.16657025690577e-14,2.9130878438311445e-18,0.0,0.0,-3.169631902452181e-15,-7.478887456587448e-16,1.781595716336251e-16,-1.0021513631494598e-13,2.7898029633930556e-16,-1.9073553154749008e-16,5.166287518975322e-14,2.912464539416126e-18,0.0,0.0,1.5581085665978753e-13,7.701483607251897e-05,-8.48322721200388e-06,2.1726408540653104e-13,-1.8006323537492655e-05,1.632386125076036e-23,2.8272987914192225e-07,6.232920914432639e-11,0.0,0.0,14512.27811110223,20621.187049664215,1322.2945720148953,996.5304879757738,1735.462596892788,2003.3765601454413,1254.4744410655755,1553.7972403592796,520.30429400208,1070.3331791635228,4086041.288241568,222079130.73687333,15951608.828843078,268926.7239969547,2803749.603048324,-12880828.40471257,705920.4466881407,-3598841.7205759706,146647.76526448134,296485.9283690651,0.3485816208664205,0.22912999932484515,0.8534012179241429,1.358502034496754,0.8695358577418242,1.0798569559222242,1.3186146220018653,1.3275142263968198,1.3561963575022495,1.312390560010926,328675.07262686844,0.010171408999621146,579.9999999999905,0.5339114577377222,25.41059340659338,1190.035600403767,0.05995340854043503,2.9685808345828253e-05,-2.5676791428596337e-08
0.05,1.0024332683633566,0.010171408999621238,1.9589758175789627e-21,2.9666254556935513e-21,0.23062977974055965,1.90831584771147e-22,9.899845497373512e-17,1.2778445712809467e-15,1.9843866989762712e-16,-4.465363068264619e-19,0.7591988112598175,-1.6254217180558535e-15,-2.978585485669483e-18,-1.1908808550671922e-17,-5.155322648539431e-14,-1.3218454606922904e-17,4.767418001935908e-17,5.314600584640746e-14,1.3074025666610357e-17,0.0,0.0,-3.250843436112474e-15,-8.186680320792462e-16,-3.28149800934245e-17,-1.0310645304430055e-13,-5.822510348698002e-17,4.767418001935908e-17,5.313331858470935e-14,1.307340008868658e-17,0.0,0.0,1.5980300433490758e-13,8.156894464337852e-05,2.0906171536550506e-06,2.2353239297485447e-13,4.5006648879198254e-06,2.557619090977221e-23,1.2685640670403548e-06,6.25565510138646e-11,0.0,0.0,14512.278111102234,20621.187049664215,1322.2945720148946,996.5304879757734,1735.4625968927878,2003.3765601454409,1254.474441065575,1553.7972403592792,520.30429400208,1070.3331791635228,4086041.288241563,222079130.7368733,15951608.828843078,268926.7239969544,2803749.6030483237,-12880828.404712573,705920.4466881403,-3598841.7205759715,146647.76526448122,296485.92836906493,0.3485816208664204,0.22912999932484504,0.8534012179241426,1.3585020344967529,0.8695358577418238,1.0798569559222237,1.3186146220018649,1.3275142263968198,1.3561963575022489,1.3123905600109258,328675.0726268685,0.010171408999621146,579.9999999999902,0.5339114577377227,25.410593406593392,1190.0356004037665,0.059953408540434974,2.9685808345828253e-05,-1.546162977666806e-08
0.06,1.0024332683633514,0.010171408999621209,1.982121454885116e-21,6.170539596733526e-21,0.23062977974055868,3.8986732609645417e-22,1.0137076235506964e-16,2.2760735982587742e-15,2.0038847866670533e-16,5.588414907343998e-19,0.7591988112598175,-1.6344365577043972e-15,-8.108675596505397e-18,-3.438087701474901e-17,-5.1859160043460947e-14,-3.604610217183121e-17,9.739794966461724e-17,5.345144659503066e-14,2.328771125315254e-17,0.0,0.0,-3.268873115410177e-15,-8.334356337500409e-16,-7.786542241842741e-17,-1.0371832022827573e-13,-1.279943081068538e-16,9.739794966461724e-17,5.342884825287757e-14,2.328707952845374e-17,0.0,0.0,1.6068929645438054e-13,8.253269579899458e-05,4.348454537684611e-06,2.248589069499346e-13,9.194820593143786e-06,2.8291251216811366e-23,2.2593199774545404e-06,6.317120400182904e-11,0.0,0.0,14512.278111102232,20621.187049664215,1322.2945720148955,996.5304879757734,1735.462596892788,2003.3765601454409,1254.474441065575,1553.7972403592785,520.30429400208,1070.3331791635228,4086041.288241563,222079130.73687327,15951608.828843076,268926.7239969543,2803749.6030483237,-12880828.404712573,705920.44668814,-3598841.7205759715,146647.76526448107,296485.92836906476,0.34858162086642025,0.22912999932484487,0.8534012179241421,1.358502034496752,0.8695358577418232,1.079856955922223,1.318614622001864,1.3275142263968187,1.3561963575022482,1.3123905600109234,328675.0726268686,0.01017140899962115,579.99999999999,0.5339114577377231,25.410593406593396,1190.0356004037662,0.05995340854043492,2.9685808345828246e-05,-1.3319142541655918e-08
0.065,1.0024332683633552,0.010171408999621193,1.9548626793582148e-21,2.354640479424207e-21,0.2306297797405582,1.472552951883672e-22,1.0176172964955513e-16,2.771203885841749e-15,2.0112497697644465e-16,6.596424340617088e-19,0.7591988112598175,-1.6245656473065566e-15,-1.6939666420273193e-18,-7.614966951397653e-18,-5.1498859880645426e-14,-7.545735515822216e-18,3.678780669494794e-17,5.307513859781649e-14,2.8353792549794184e-17,0.0,0.0,-3.2491312946147734e-15,-8.156707614480909e-16,-2.4208405699008173e-17,-1.0299771993967849e-13,-4.227514036894445e-17,3.678780669494794e-17,5.304762426649124e-14,2.835315850328765e-17,0.0,0.0,1.5971883991406998e-13,8.139767946469423e-05,1.6593438743703366e-06,2.2329666235961627e-13,3.4729404852610827e-06,2.614755329638047e-23,2.7506708655457423e-06,6.34033754532851e-11,0.0,0.0,14512.278111102236,20621.187049664215,1322.2945720148948,996.5304879757733,1735.4625968927883,2003.3765601454409,1254.474441065575,1553.7972403592785,520.30429400208,1070.3331791635228,4086041.2882415596,222079130.7368733,15951608.828843078,268926.7239969541,2803749.6030483237,-12880828.404712573,705920.4466881402,-3598841.7205759725,146647.76526448102,296485.9283690646,0.3485816208664205,0.2291299993248455,0.8534012179241408,1.3585020344967476,0.8695358577418265,1.0798569559222213,1.3186146220018689,1.3275142263968207,1.356196357502246,1.3123905600109196,328675.0726268685,0.010171408999621146,579.9999999999899,0.5339114577377233,25.410593406593403,1190.0356004037662,0.059953408540434974,2.9685808345828277e-05,-1.5884643356014693e-08
0.07,1.0024332683633548,0.010171408999621177,1.9248143127144333e-21,-1.8996800654930466e-21,0.2306297797405577,-1.2089897162817804e-22,1.0134680255041099e-16,3.2622429530128556e-15,2.0161495778113546e-16,3.4897543962245235e-19,0.7591988112598175,-1.6135888586419658e-15,5.329348921969886e-18,2.2227740115899176e-17,-5.1101687552327e-14,2.3680749129598846e-17,-3.0203382442989143e-17,5.2660863938889623e-14,3.3378016354864537e-17,0.0,0.0,-3.227177717285855e-15,-7.961357367870623e-16,3.5615017317089266e-17,-1.0220337532198663e-13,5.219415047541686e-17,-3.0203382442989143e-17,5.2628474234226405e-14,3.337738076369709e-17,0.0,0.0,1.5863965917775887e-13,8.014650855547651e-05,-1.3387277203733244e-06,2.2157454178263402e-13,-2.851340134616274e-06,2.3531504879638897e-23,3.237914180050708e-06,6.355783532306346e-11,0.0,0.0,14512.27811110223,20621.187049664215,1322.294572014895,996.5304879757736,1735.4625968927883,2003.3765601454409,1254.474441065575,1553.7972403592785,520.30429400208,1070.3331791635228,4086041.288241557,222079130.7368733,15951608.828843076,268926.723996954,2803749.603048323,-12880828.40471257,705920.4466881398,-3598841.7205759725,146647.76526448096,296485.9283690645,0.34858162086642025,0.2291299993248453,0.8534012179241401,1.3585020344967462,0.8695358577418256,1.0798569559222204,1.318614622001868,1.3275142263968198,1.3561963575022447,1.3123905600109183,328675.0726268686,0.010171408999621143,579.9999999999898,0.5339114577377235,25.410593406593406,1190.0356004037665,0.059953408540434946,2.9685808345828277e-05,-1.871200314302013e-08
0.07500000000000001,1.0024332683633546,0.010171408999621162,2.0400849907985055e-21,1.398994571660559e-20,0.23062977974055723,8.887825065147575e-22,1.0407381529079466e-16,3.768433882824282e-15,2.0367395378479191e-16,1.6425618070859477e-18,0.7591988112598175,-1.6562332838880744e-15,-2.134549546730745e-17,-8.92189657674155e-17,-5.2625308399403606e-14,-9.485358345518177e-17,2.2203859630608366e-16,5.422636386280974e-14,3.855726886576375e-17,0.0,0.0,-3.3124665677785044e-15,-8.708076390126755e-16,-1.8780782014459467e-16,-1.0525061705862909e-13,-3.0446837153913053e-16,2.2203859630608366e-16,5.418894834189264e-14,3.8556626783597486e-17,0.0,0.0,1.6283223713880687e-13,8.494621433720706e-05,9.85888542392539e-06,2.2818089110670594e-13,2.0961478806531856e-05,3.417014346057076e-23,3.7401426436829726e-06,6.420690889885561e-11,0.0,0.0,14512.278111102234,20621.187049664215,1322.294572014895,996.5304879757733,1735.462596892788,2003.3765601454409,1254.474441065575,1553.7972403592785,520.30429400208,1070.3331791635226,4086041.2882415564,222079130.7368733,15951608.828843078,268926.7239969539,2803749.603048323,-12880828.404712573,705920.4466881397,-3598841.7205759725,146647.7652644809,296485.9283690644,0.3485816208664204,0.22912999932484543,0.8534012179241405,1.3585020344967464,0.8695358577418263,1.0798569559222206,1.3186146220018684,1.32751422639682,1.3561963575022455,1.3123905600109191,328675.0726268686,0.010171408999621146,579.9999999999897,0.5339114577377236,25.410593406593414,1190.0356004037658,0.05995340854043492,2.968580834582826e-05,-7.931386248609759e-09
