Distance,Velocity,Y-H2,Y-H,Y-O,Y-O2,Y-OH,Y-H2O,Y-HO2,Y-H2O2,Y-AR,Y-N2,Y_dot_net-H2,Y_dot_net-H,Y_dot_net-O,Y_dot_net-O2,Y_dot_net-OH,Y_dot_net-H2O,Y_dot_net-HO2,Y_dot_net-H2O2,Y_dot_net-AR,Y_dot_net-N2,Y_dot_pos-H2,Y_dot_pos-H,Y_dot_pos-O,Y_dot_pos-O2,Y_dot_pos-OH,Y_dot_pos-H2O,Y_dot_pos-HO2,Y_dot_pos-H2O2,Y_dot_pos-AR,Y_dot_pos-N2,Y_dot_neg-H2,Y_dot_neg-H,Y_dot_neg-O,Y_dot_neg-O2,Y_dot_neg-OH,Y_dot_neg-H2O,Y_dot_neg-HO2,Y_dot_neg-H2O2,Y_dot_neg-AR,Y_dot_neg-N2,Cp-H2,Cp-H,Cp-O,Cp-O2,Cp-OH,Cp-H2O,Cp-HO2,Cp-H2O2,Cp-AR,Cp-N2,h-H2,h-H,h-O,h-O2,h-OH,h-H2O,h-HO2,h-H2O2,h-AR,h-N2,Le-H2,Le-H,Le-O,Le-O2,Le-OH,Le-H2O,Le-HO2,Le-H2O2,Le-AR,Le-N2,EnthalpyTot,MixtureFraction,Temperature,Density,MolarWeightMix,Cp,Conductivity,ViscosityDyn,Heat_Release
0.0,1.22575111525121,0.007286467468515101,2.5365101132981107e-20,-9.368653352751675e-17,0.23130197029541305,-7.328407404276839e-20,1.3356207310719958e-15,9.130488373838591e-14,6.063824832451672e-16,-5.283117660566722e-19,0.7614115622359788,-1.7217211027225508e-11,8.604231620619541e-12,1.8182616303434093e-12,-2.7705176627229735e-10,-1.9079677642338266e-12,-2.3135786411646696e-14,2.857416080472113e-10,3.5979551994101107e-14,0.0,0.0,-3.44344220544516e-11,8.599857282269301e-12,3.6351104439286136e-12,-5.541035467036848e-10,-1.8861265030896038e-12,-2.313578641164696e-14,2.857066737353397e-10,3.597295285576319e-14,0.0,0.0,2.362902336144751e-09,0.0004374338339144194,-0.1816865835171403,1.1977925655607945e-09,-0.0021841261304284564,2.622318111768486e-17,0.0034618230520345166,6.598738201994771e-07,0.0,0.0,14587.48576061691,20621.187049674678,1315.0609023611323,1038.7078732849,1748.9903824379405,2102.298011372788,1336.3950750220408,1675.0508622440998,520.30429400208,1102.6119499230836,6265986.221001987,225172308.79432324,16149394.710599206,421687.2181179097,3064942.735058424,-12572983.249160355,900598.7537847986,-3356209.7492391956,224693.4093647983,459321.17915759486,0.3343704633794284,0.21383514139780213,0.8083116902579435,1.284135192864073,0.8237496001522316,0.9954190944070712,1.248625553464292,1.2571311508221068,1.2823293302139187,1.2099496582618856,492926.4457470771,0.0072864674685180035,730.0,0.43905338004732514,26.300121673007034,1186.0879054254378,0.06680766286890434,3.470147764210234e-05,-0.0019937473836227826
0.01,1.2257511152440184,0.007286467468164717,5.4631505388239466e-17,1.5622531045983975e-16,0.23130197028470975,2.1658099103172042e-17,1.2840103107118914e-13,1.0936761254522464e-11,8.136035129908572e-14,-6.755399190151342e-19,0.761411562235979,-1.8849006156111448e-11,3.0803227184024528e-15,1.3279177988552872e-14,-5.759866625547151e-10,1.1903695730522525e-15,6.837463324843077e-12,5.83670654288413e-10,4.31000122729061e-12,0.0,0.0,-3.769801246197499e-11,-9.418395852534437e-12,-3.0163749014673615e-12,-1.1519753648331526e-09,-6.453693677486039e-12,6.8374633248429424e-12,5.794854096779294e-10,4.3091157980150324e-12,0.0,0.0,2.5868510855703627e-09,0.9421424704591389,0.30296067493304163,2.490202316670933e-09,0.6454870067037531,1.3317883143406664e-14,0.19989933302504342,8.782835299246263e-05,0.0,0.0,14587.485760615686,20621.187049674678,1315.06090236118,1038.707873284649,1748.9903824378118,2102.2980113720996,1336.3950750215818,1675.0508622434004,520.30429400208,1102.611949922831,6265986.220987142,225172308.7943023,16149394.710597869,421687.2181168529,3064942.7350566452,-12572983.249162495,900598.7537834389,-3356209.7492408995,224693.40936426897,459321.1791564732,0.33437046337731574,0.2138351413959307,0.8083116902519355,1.2841351928517721,0.8237496001461295,0.9954190943997985,1.2486255534571895,1.2571311508130945,1.2823293302047911,1.2099496582481872,492926.4457470767,0.007286467468517896,729.9999999989826,0.4390533800499024,26.300121673124764,1186.0879054238471,0.06680766286834937,3.4701477642082006e-05,-6.513836010489551e-05
0.02,1.2257511152372675,0.007286467467809235,5.544476605517215e-17,1.592404261398477e-16,0.23130197027392377,2.203820033002274e-17,2.57701283548974e-13,2.17886235829118e-11,2.415801073620357e-13,9.199464052260868e-19,0.761411562235979,-1.912330260322119e-11,3.0412200793582024e-17,1.0542808222628583e-16,-5.804360923523779e-10,-3.833991569696203e-17,6.9574614948010674e-12,5.840154340716467e-10,8.586401888783935e-12,0.0,0.0,-3.8246605509234204e-11,-9.56169690457272e-12,-3.0880205405514373e-12,-1.160876927441762e-09,-6.5682061035492015e-12,6.957461494800785e-12,5.756760325631465e-10,8.583772818241639e-12,0.0,0.0,2.624495746979257e-09,0.9561674302294036,0.3088076793967201,2.5094504572394756e-09,0.6568153288605709,2.7604315537269695e-14,0.2623391820268394,0.0002567055585891959,0.0,0.0,14587.485760614847,20621.187049674678,1315.0609023612126,1038.707873284475,1748.9903824377232,2102.298011371624,1336.3950750212646,1675.0508622429163,520.30429400208,1102.6119499226565,6265986.220976885,225172308.79428777,16149394.710596943,421687.2181161225,3064942.735055414,-12572983.249163972,900598.7537824991,-3356209.7492420776,224693.4093639031,459321.17915569793,0.334370463375173,0.213835141394028,0.808311690245835,1.2841351928392946,0.8237496001399337,0.9954190943923575,1.2486255534499435,1.2571311508039476,1.282329330195505,1.2099496582342761,492926.445747077,0.007286467468517799,729.9999999982795,0.4390533800523199,26.300121673244245,1186.0879054223217,0.06680766286781092,3.470147764207158e-05,-4.508936093969903e-05
0.03,1.2257511152309368,0.0072864674674487295,5.622870967258683e-17,1.6148667535591673e-16,0.2313019702630581,2.235757570215614e-17,3.888730676535879e-13,3.264382195932677e-11,4.812822572282362e-13,-1.6116428563747439e-18,0.7614115622359791,-1.9393652753090044e-11,6.323532670252697e-17,2.0925138492921662e-16,-5.847243520944745e-10,1.0937417484936789e-16,7.058288514533982e-12,5.841953624028436e-10,1.286397206930048e-11,0.0,0.0,-3.878730596625201e-11,-9.696859359095593e-12,-3.1314780998723626e-12,-1.1694568275491674e-09,-6.6632436417762724e-12,7.058288514533536e-12,5.716991306387485e-10,1.2858734365591546e-11,0.0,0.0,2.6615988163241526e-09,0.969686807018435,0.3131636779496098,2.528004732360908e-09,0.6663338118342481,4.289541037817807e-14,0.293037330847451,0.000499719746152312,0.0,0.0,14587.48576061436,20621.187049674678,1315.0609023612317,1038.707873284375,1748.9903824376715,2102.2980113713484,1336.3950750210815,1675.050862242637,520.30429400208,1102.611949922555,6265986.2209709585,225172308.79427943,16149394.710596412,421687.21811570047,3064942.7350547044,-12572983.249164829,900598.7537819563,-3356209.7492427593,224693.40936369167,459321.1791552496,0.33437046337299936,0.21383514139209742,0.8083116902396449,1.2841351928266478,0.8237496001336474,0.9954190943847636,1.2486255534425645,1.2571311507946834,1.2823293301860803,1.2099496582201594,492926.4457470767,0.007286467468517698,729.9999999978731,0.4390533800545871,26.300121673365418,1186.087905420857,0.06680766286728837,3.470147764207069e-05,-2.613449064013863e-05
0.04,1.2257511152250322,0.0072864674670831955,5.701394275995977e-17,1.6374957657287125e-16,0.23130197025211266,2.268227149699378e-17,5.219521855661414e-13,4.3502444219027345e-11,8.00496587825765e-13,1.5366848708868753e-19,0.7614115622359792,-1.9664311537677493e-11,2.8011260103189736e-17,6.196557416915528e-17,-5.890189940458278e-10,-4.4925390271634116e-17,7.160795197873412e-12,5.843797185842083e-10,1.7142746749979733e-11,0.0,0.0,-3.9328623697045426e-11,-9.832312244232275e-12,-3.175509703921457e-12,-1.1780501703484492e-09,-6.760168869775709e-12,7.160795197872789e-12,5.677239482593029e-10,1.713403509699789e-11,0.0,0.0,2.6987442435191717e-09,0.9832284197763533,0.31755196704954824,2.5465895324416305e-09,0.6760108610923552,5.91895434303272e-14,0.31130858726229993,0.0008065974477194717,0.0,0.0,14587.485760614232,20621.187049674678,1315.060902361237,1038.7078732843481,1748.990382437658,2102.2980113712747,1336.3950750210324,1675.0508622425623,520.30429400208,1102.611949922528,6265986.220969373,225172308.79427713,16149394.710596265,421687.21811558784,3064942.735054514,-12572983.249165054,900598.7537818111,-3356209.74924294,224693.40936363515,459321.17915513006,0.33437046337079745,0.21383514139013793,0.8083116902333671,1.2841351928138416,0.8237496001272712,0.9954190943770175,1.2486255534350499,1.2571311507852987,1.282329330176518,1.2099496582058453,492926.4457470772,0.007286467468517598,729.9999999977646,0.43905338005670336,26.30012167348827,1186.087905419454,0.06680766286678172,3.470147764207942e-05,-7.133518664168405e-06
0.05,1.2257511152195442,0.00728646746671263,5.779953692406912e-17,1.66009603479276e-16,0.2313019702410874,2.300947139805587e-17,6.569518198554059e-13,5.436447447655819e-11,1.1992434385193004e-12,3.8959218633637e-18,0.7614115622359793,-1.9935131372850664e-11,1.105390434340874e-17,-9.469273998995902e-18,-5.933149351597118e-10,-1.1915253966026456e-16,7.2640924335632384e-12,5.845633715426468e-10,2.142272012426153e-11,0.0,0.0,-3.987026353334876e-11,-9.967809140032197e-12,-3.219409721753452e-12,-1.186646790379243e-09,-6.857760338978273e-12,7.264092433562423e-12,5.637453591183533e-10,2.1409668984511104e-11,0.0,0.0,2.735911774012618e-09,0.9967762580730406,0.3219346808230744,2.56518288441489e-09,0.6857625407405046,7.646694318682717e-14,0.32343948418122465,0.0011653590550175371,0.0,0.0,14587.485760614456,20621.187049674678,1315.0609023612278,1038.7078732843947,1748.9903824376818,2102.298011371403,1336.3950750211181,1675.050862242693,520.30429400208,1102.6119499225754,6265986.2209721375,225172308.79428107,16149394.710596515,421687.21811578446,3064942.7350548455,-12572983.249164656,900598.7537820641,-3356209.7492426233,224693.40936373366,459321.1791553388,0.3343704633685638,0.21383514138814874,0.8083116902269994,1.284135192800871,0.8237496001208034,0.9954190943691202,1.2486255534273973,1.257131150775793,1.282329330166805,1.209949658191329,492926.44574707747,0.0072864674685174935,729.9999999979539,0.4390533800586687,26.30012167361282,1186.0879054181125,0.06680766286629077,3.470147764209758e-05,1.1878022761157105e-05
0.06,1.2257511152144767,0.007286467466337028,5.858465606195738e-17,1.682481139407259e-16,0.23130197022998233,2.3336617976419163e-17,7.938656981899101e-13,6.522980730256508e-11,1.6775346226142724e-12,-1.5913347528356523e-18,0.7614115622359793,-2.0205973889585137e-11,8.736837634332075e-17,3.0990078694100194e-16,-5.97607597676408e-10,2.1521934671302774e-16,7.367372841139892e-12,5.847417350897003e-10,2.570385114664313e-11,0.0,0.0,-4.0411948737103286e-11,-1.010313085123012e-11,-3.2625016751702397e-12,-1.1952375327036544e-09,-6.954927317955059e-12,7.36737284113887e-12,5.597588161323577e-10,2.5685594854026818e-11,0.0,0.0,2.7730824179394916e-09,1.0103159030596771,0.3262756680691403,2.5837649995250297e-09,0.6955126306389213,9.470443999705283e-14,0.33208803602093956,0.001563368742316476,0.0,0.0,14587.485760615044,20621.187049674678,1315.060902361205,1038.707873284515,1748.9903824377436,2102.2980113717326,1336.3950750213373,1675.050862243028,520.30429400208,1102.611949922696,6265986.220979237,225172308.79429114,16149394.710597154,421687.2181162899,3064942.735055696,-12572983.249163631,900598.7537827148,-3356209.7492418075,224693.40936398692,459321.17915587564,0.3343704633663018,0.21383514138613127,0.8083116902205455,1.2841351927877276,0.8237496001142445,0.9954190943610577,1.2486255534196056,1.2571311507661622,1.2823293301569505,1.2099496581766032,492926.4457470773,0.007286467468517396,729.9999999984407,0.43905338006048333,26.300121673739056,1186.0879054168317,0.06680766286581555,3.4701477642125164e-05,3.086819530570323e-05
0.07,1.225751115209837,0.0072864674659563235,5.937177732476252e-17,1.7052041782144135e-16,0.23130197021879736,2.367131398765393e-17,9.327468359987153e-13,7.60986092924261e-11,2.235406598411805e-12,-5.124332209386549e-19,0.7614115622359794,-2.047724673505044e-11,3.358192701645036e-17,8.543495748129014e-17,-6.019105418424411e-10,-2.043953882794937e-17,7.473036611116845e-12,5.849284475734976e-10,2.99862058155311e-11,0.0,0.0,-4.0954494602696255e-11,-1.0238927947745671e-11,-3.306792821241676e-12,-1.2038495185333722e-09,-7.054914328211577e-12,7.473036611115601e-12,5.557778924784939e-10,2.996187830714114e-11,0.0,0.0,2.810312121095174e-09,1.0238900739499213,0.33068218681344963,2.6023945066075757e-09,0.7054877188851442,1.138935160051431e-13,0.3385717299567117,0.0019882876955734183,0.0,0.0,14587.485760615975,20621.187049674678,1315.0609023611687,1038.707873284709,1748.9903824378425,2102.298011372264,1336.3950750216916,1675.050862243568,520.30429400208,1102.6119499228914,6265986.220990693,225172308.79430735,16149394.71059819,421687.21811710583,3064942.735057071,-12572983.249161983,900598.7537837647,-3356209.7492404925,224693.40936439566,459321.1791567416,0.334370463364011,0.21383514138408496,0.8083116902140012,1.284135192774425,0.8237496001075988,0.9954190943528657,1.2486255534116857,1.2571311507564142,1.2823293301469578,1.2099496581616813,492926.44574707694,0.00728646746851723,729.9999999992261,0.43905338006214695,26.30012167386701,1186.0879054156123,0.06680766286535655,3.4701477642162705e-05,4.9931778529076784e-05
0.08,1.2257511152055809,0.0072864674655683526,6.015870555554814e-17,1.7277746004080926e-16,0.23130197020753307,2.4006811726838988e-17,1.0735952509991412e-12,8.69708040074035e-11,2.8728726221960443e-12,-1.1958490826715915e-18,0.7614115622359812,-2.0748589860695657e-11,4.823572283107254e-17,1.4618279200465196e-16,-6.062117498495991e-10,4.384279213797746e-17,7.578953492600588e-12,5.851113934465632e-10,3.4269754509824106e-11,0.0,0.0,-4.149718103299561e-11,-1.0374623322582501e-11,-3.3505027922668095e-12,-1.2124587128503606e-09,-7.1548403416022104e-12,7.578953492599103e-12,5.517905005966278e-10,3.423848957844784e-11,0.0,0.0,2.8475514701561935e-09,1.0374609145999647,0.33505910843970943,2.621019451025873e-09,0.715486700783983,1.3400883665160982e-13,0.34361778466218995,0.0024287454940211816,0.0,0.0,14587.485760617272,20621.187049674678,1315.060902361118,1038.7078732849766,1748.99038243798,2102.298011372998,1336.3950750221804,1675.0508622443135,520.30429400208,1102.61194992316,6265986.221006504,225172308.79432967,16149394.710599614,421687.21811823186,3064942.7350589656,-12572983.249159703,900598.7537852128,-3356209.749238677,224693.4093649596,459321.1791579366,0.3343704633616778,0.21383514138199924,0.8083116902073347,1.2841351927609017,0.8237496001008315,0.9954190943444606,1.2486255534035753,1.2571311507464924,1.2823293301367678,1.2099496581464793,492926.44574706367,0.007286467468514829,730.00000000031,0.4390533800636712,26.300121673997367,1186.0879054144239,0.06680766286490925,3.470147764220967e-05,6.898471580377689e-05
0.09,1.2257511152005516,0.007286467465095097,6.094684912575645e-17,1.7505067805719712e-16,0.23130197019621065,2.4347431473120202e-17,1.216437412363421e-12,9.784645920670184e-11,3.5897441236137103e-12,3.30722817343763e-18,0.7614115622360415,-2.1020234302355844e-11,3.967258941000563e-18,-3.907261978175218e-17,-6.105189310233859e-10,-1.501168147290508e-16,7.686487398010139e-12,5.852983364463764e-10,3.8554526703530676e-11,0.0,0.0,-4.204047009970784e-11,-1.0510587219016536e-11,-3.394772467320227e-12,-1.2210805349910707e-09,-7.256551138151242e-12,7.6864873980084e-12,5.478043769064122e-10,3.851546019408923e-11,0.0,0.0,2.884832172681544e-09,1.0510527127924365,0.339467397070241,2.6396731658764344e-09,0.7256383353906868,1.5503762788156548e-13,0.34766055200850055,0.002874705298797327,0.0,0.0,14587.485760618934,20621.187049674678,1315.0609023610532,1038.7078732853176,1748.9903824381547,2102.298011373934,1336.395075022804,1675.0508622452635,520.30429400208,1102.6119499235037,6265986.221026671,225172308.79435816,16149394.710601434,421687.21811966726,3064942.735061383,-12572983.2491568,900598.7537870597,-3356209.749236361,224693.4093656787,459321.17915946065,0.33437046335891957,0.2138351413795084,0.8083116901994081,1.2841351927453404,0.8237496000927774,0.9954190943344904,1.248625553393576,1.257131150734691,1.282329330124655,1.209949658128416,492926.44574658386,0.0072864674684318086,730.0000000016921,0.43905338006547184,26.30012167415502,1186.087905412214,0.06680766286433794,3.470147764226806e-05,8.808092921807692e-05
